Zip Code,2018-02-28,2018-01-31,2017-12-31,2017-11-30,2017-10-31,2017-09-30,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-30,2017-03-31,2017-02-28,2017-01-31,2016-12-31,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-31,2016-06-30,2016-05-31,2016-04-30,2016-03-31,2016-02-29,2016-01-31,2015-12-31,2015-11-30,2015-10-31,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-31,2015-04-30,2015-03-31,2015-02-28,2015-01-31,2014-12-31,2014-11-30,2014-10-31,2014-09-30,2014-08-31,2014-07-31,2014-06-30,2014-05-31,2014-04-30,2014-03-31,2014-02-28,2014-01-31,2013-12-31,2013-11-30,2013-10-31,2013-09-30,2013-08-31,2013-07-31,2013-06-30,2013-05-31,2013-04-30,2013-03-31,2013-02-28,2013-01-31,2012-12-31,2012-11-30,2012-10-31,2012-09-30,2012-08-31,2012-07-31,2012-06-30,2012-05-31,2012-04-30,2012-03-31,2012-02-29,2012-01-31,2011-12-31,2011-11-30,2011-10-31,2011-09-30,2011-08-31,2011-07-31,2011-06-30,2011-05-31,2011-04-30,2011-03-31,2011-02-28,2011-01-31,2010-12-31,2010-11-30,2010-10-31,2010-09-30,2010-08-31,2010-07-31,2010-06-30,2010-05-31,2010-04-30,2010-03-31,2010-02-28,2010-01-31,2009-12-31,2009-11-30,2009-10-31,2009-09-30,2009-08-31,2009-07-31,2009-06-30,2009-05-31,2009-04-30,2009-03-31,2009-02-28,2009-01-31,2008-12-31,2008-11-30,2008-10-31,2008-09-30,2008-08-31,2008-07-31,2008-06-30,2008-05-31,2008-04-30,2008-03-31,2008-02-29,2008-01-31,2007-12-31,2007-11-30,2007-10-31,2007-09-30,2007-08-31,2007-07-31,2007-06-30,2007-05-31,2007-04-30,2007-03-31,2007-02-28,2007-01-31,2006-12-31,2006-11-30,2006-10-31,2006-09-30,2006-08-31,2006-07-31,2006-06-30,2006-05-31,2006-04-30,2006-03-31,2006-02-28,2006-01-31,2005-12-31,2005-11-30,2005-10-31,2005-09-30,2005-08-31,2005-07-31,2005-06-30,2005-05-31,2005-04-30,2005-03-31,2005-02-28,2005-01-31,2004-12-31,2004-11-30,2004-10-31,2004-09-30,2004-08-31,2004-07-31,2004-06-30,2004-05-31,2004-04-30,2004-03-31,2004-02-29,2004-01-31,2003-12-31,2003-11-30,2003-10-31,2003-09-30,2003-08-31,2003-07-31,2003-06-30,2003-05-31,2003-04-30,2003-03-31,2003-02-28,2003-01-31
60630,113200,114500,117100,119200,118800,118000,117800,118300,119200,119300,118500,117900,118800,119000,118000,117100,116600,116000,116200,116000,114100,112200,110900,109700,108800,108800,109400,109200,107300,104200,101000,99200,98800,98500,97500,96800,96600,96900,96500,95700,96200,98500,100000,99000,96900,95600,95100,95300,94400,93900,94000,93700,93300,93400,92200,89800,88900,89100,89500,88400,86200,85200,86800,88500,88800,88900,89900,91400,92700,92500,92000,92000,92700,93500,94400,96000,98600,101600,103400,105500,107500,110000,112600,115400,117000,118700,120400,121200,121700,121500,121900,123500,125000,126700,130000,133100,136800,134600,127600,124500,126700,127500,128500,129300,130100,131700,133600,135800,138000,141200,145600,149500,151600,154300,157300,160100,163900,168000,168800,168100,169500,172100,174400,175100,174900,174800,174700,174200,173700,172400,171200,170700,170400,170600,171600,172600,172300,171600,172000,173000,173800,174700,175900,176200,175000,174000,173400,172300,169800,168200,167900,168400,168000,166800,165600,164900,164800,166100,166500,165000,163000,160800,158200,157000,156800,156100,154600,153300,152300,150900,149400,148700,149800,152500,153500,151100,146600,142600,140700,140400,140000,140000
60647,241000,240400,240800,241300,240200,238700,236900,236000,237100,238100,237000,236700,238200,236400,231900,228800,226500,222800,220200,219200,217300,214600,212900,210300,207800,207600,208400,208400,207800,207500,207400,208300,207900,207400,208200,209700,209800,210300,210300,209200,209800,211400,210900,208700,206900,204600,201100,198500,197300,197000,197400,196200,194900,195100,194900,190600,186500,183200,181000,179000,177500,174500,171400,169500,168400,166600,165100,165500,167000,168200,168600,167600,167000,169800,173500,175800,179300,184200,187200,188200,189000,190800,191000,191500,193300,193300,190700,190400,190600,189900,191600,197200,201200,200900,200200,202200,204700,208500,214000,218400,219700,220000,219800,217900,216300,218000,221400,223600,225300,226900,228100,229100,230600,232500,234200,236200,238400,239700,241800,244200,244900,243300,242600,243400,244100,243300,242700,243200,244600,246000,246200,244800,241600,238800,237300,235700,234000,234500,235600,237000,238700,240600,241600,242900,244000,243900,242000,239600,236900,234900,233700,231400,228700,228100,228400,228000,226500,224800,223300,221700,219300,216900,215200,213800,213700,213900,213000,211500,211200,210400,209700,210100,212500,213700,212900,209900,204900,199200,196200,194300,191900,191100
60610,229200,229400,230200,231900,233100,232900,232400,232200,232600,233500,234100,234200,234500,233400,230000,225800,223700,224100,226200,227700,228100,226700,224400,222100,220800,220800,222100,222600,222300,222200,221800,221400,222000,221800,219800,217800,217800,218900,219900,220800,221600,222500,222200,221400,220400,220600,221800,222700,220800,218000,215800,214300,211800,208100,204700,201700,197900,194400,191600,189800,188800,187600,185100,182600,182600,183700,184500,183300,180600,177900,177300,176200,174700,174700,176200,178200,179300,180200,181200,182500,184500,187100,188500,190000,191700,192500,192800,193800,195200,196000,197100,200300,204200,206900,208300,209700,211900,215900,220100,222300,221900,221200,220400,219600,219900,221800,224300,226400,228200,229700,231000,232600,234900,237300,239500,242300,245900,248000,249000,250700,251900,251700,251300,251800,252200,252200,251800,250400,248000,246300,246000,246500,247200,247600,247500,247100,246300,246000,246600,246700,245900,244800,244100,243500,242600,241300,240000,238200,235900,233900,232700,231900,231300,230900,229600,227400,225100,223400,221700,220700,220400,220000,218900,217900,217300,216500,215300,214600,213800,211700,210400,210700,211400,211200,210300,210300,210900,210500,209100,207600,206400,205900
60642,283500,281100,278200,276700,276300,276400,275700,276700,279800,283000,283800,283900,286700,289800,289200,284900,282500,282200,284200,281600,275300,269600,266900,262600,260200,258200,254700,250700,249100,249400,249800,250100,249000,246800,244900,244100,244000,244800,246800,249500,250900,250000,247500,245100,243900,243900,244900,244200,240700,238700,239200,238900,237300,236100,234400,232100,229000,224700,219500,216200,215700,213700,210700,208600,206900,204800,203300,201800,200600,200500,200800,201400,202400,204700,207700,210700,212900,213700,213000,213100,215000,218700,220900,222100,222300,221900,221200,222000,224500,226700,229100,232200,235300,235800,235300,235400,235300,235500,237200,238600,237800,237200,237200,238300,240700,243400,246100,248800,251100,252500,253800,255700,257500,258600,259300,261200,263300,264800,265300,266000,266700,268200,269800,269300,267300,266900,268100,266300,262200,259600,258800,257700,257400,257500,257500,256600,255800,256100,258400,261400,262600,262600,264700,266700,266400,265700,263300,259200,256900,257400,258100,256700,254400,252700,251400,250800,250300,248900,247700,248300,248600,246100,242800,241700,243100,244700,243400,240000,238200,236700,233800,232700,234500,236200,235400,233800,231700,229200,227000,225300,222600,220900
60634,140900,139700,140200,140800,140200,139400,137900,136100,134500,132900,131400,130700,130000,129900,128200,125300,123200,124400,125900,125600,123700,122200,120500,118800,117600,116000,115300,115800,116100,114600,113900,114400,115200,115300,114600,113200,112500,112300,111700,110700,110100,109300,108900,109100,109100,107900,106000,105200,104900,104400,102800,102200,101700,101300,99600,97200,94700,94000,94400,93800,92800,93500,95300,96000,95500,94300,93600,93900,94500,94900,95400,94800,94500,95900,98600,100600,102300,104300,106200,108800,111400,113300,115100,118000,119600,121700,124800,127700,128500,128800,130300,132300,133700,134400,135200,136900,140300,138600,133100,131000,133900,136400,138000,139500,142600,146600,149800,152600,155100,158000,161800,165500,168300,171300,175200,178000,179500,179600,179500,181300,184900,188200,189500,189100,189100,190500,190400,188000,185700,184800,185000,184800,182500,180200,180600,181800,182100,183300,184900,185100,185000,186100,187500,186900,185600,185600,184800,183500,182000,179800,177400,177500,179600,180800,180500,179900,178900,176700,175300,174200,173000,171100,170100,169400,169100,168200,167600,167500,167700,167600,167200,165600,164200,164300,164300,162900,159900,156000,153400,152500,151600,151500
60660,116400,116100,116800,118100,118900,119500,119900,120400,121700,124200,126200,126300,124200,121800,120300,118900,117100,115800,115400,115300,114700,113700,112700,111600,110200,109400,109800,110600,110300,108600,106800,105800,105700,106500,106500,105800,105400,105400,105700,106600,106600,105600,103800,101900,100000,98000,96100,94600,94900,95300,93800,90300,87800,86000,84200,81400,78800,76400,75000,74800,76000,77500,78800,79200,78500,77800,78000,79300,81000,83300,85200,86800,88300,90800,92500,94000,98100,103800,107700,109600,110700,110600,110600,111500,112100,112100,112300,112800,112500,112800,114900,118600,121500,122700,124200,125400,125700,123700,121800,121900,123400,124000,124800,126000,127300,129500,131600,133200,134300,135800,138100,140400,142000,143400,144900,146000,146900,148400,150000,150900,151400,152700,154600,155700,155500,155500,155400,155100,155600,156600,157000,157300,157500,157000,156000,156200,157200,157700,157300,157500,157400,156200,154700,154000,153700,153500,153600,154000,153900,153400,152700,151300,150500,150700,150600,149400,148200,147400,146900,145900,144700,144400,144100,143000,142300,142300,142100,141800,141100,140400,139900,139300,138600,138000,137500,137800,136900,135000,133900,133800,133400,132900
60618,193200,192900,193500,193600,192600,191700,191600,193100,194500,193300,190400,189500,189200,186700,182200,179100,177400,176300,175700,174500,172400,171200,171400,171700,171200,169400,168400,170100,173200,173400,171500,171000,171600,171400,170000,168100,167200,167800,168500,168900,169500,168700,166600,162700,159300,157600,157500,157100,157200,156800,155700,154900,155000,155200,154600,153100,149800,145900,143000,142000,141700,140400,138100,135800,133600,132400,132900,134400,137400,139800,140700,139800,139600,141200,144000,145700,147700,151300,154500,157300,159900,162800,164600,167600,170600,172600,173100,174500,175400,175600,175600,176200,177400,179400,181200,181800,181800,185700,192100,195800,195900,196600,197900,198600,198900,199900,201900,203600,205000,205200,205300,206000,207500,208800,210500,211400,211700,212200,214100,216500,218200,218300,218200,217700,217200,216100,215900,216800,217900,217600,216200,214100,212300,210200,207900,207300,208500,210500,212100,213700,214500,214200,213500,214100,214300,214100,213500,211200,208100,206500,206100,205300,204000,203500,203400,203200,201700,198700,195600,195200,195200,192900,188800,186700,186600,187600,187800,186500,185000,184300,184600,185300,186400,186200,184500,181500,177800,174500,172300,170700,170100,170100
60641,128700,127700,126600,125900,124900,122500,120300,119300,119800,121400,122000,121500,122400,123700,123600,122200,121100,120400,121100,121500,120200,119100,118200,115600,111900,109700,108200,107000,106200,106600,107100,106600,106600,106300,104700,103100,102500,102100,102300,101800,100500,99400,97400,93800,92100,91400,90700,90300,90100,89700,89500,88800,87900,86500,83500,81500,81000,80500,79500,78800,78900,79500,80000,81100,82000,82300,83200,86600,88200,87600,87300,88700,89800,90500,91300,92800,95700,99400,102600,104400,105900,107800,110900,114000,115600,117400,120100,121500,122000,122300,123000,124200,125900,127800,129200,131000,134500,135500,133800,134700,138700,142900,147100,149600,150400,152400,154900,156700,157700,159400,161800,163900,165700,167800,170300,172600,175300,177600,179300,179600,179000,178800,179200,177700,175100,172800,170600,168900,167500,166700,165900,165200,164000,163300,163500,164800,165700,166000,166300,167200,167500,167700,168500,169700,170700,171700,172700,171800,168700,166100,164900,163900,163600,163900,162700,160400,159300,158700,157100,156100,155100,153600,152900,153300,153300,152300,152200,152500,152600,152500,153300,153900,154400,154100,152100,148300,144500,142000,140600,139600,138300,136900
60645,103600,102300,101300,101100,100800,99900,98200,96700,95700,94800,93600,92400,92200,92500,92200,91500,90700,89400,89200,89000,87400,86200,85800,85000,84200,83300,82400,82000,81800,80800,79400,78700,78200,77700,77100,76100,74100,72600,71600,71200,71200,70800,70300,68400,65300,63500,63300,62500,61200,60600,60400,61000,60200,59100,58800,59600,59300,58400,58300,60000,60700,59800,59500,60100,60200,60400,60100,60200,62700,66600,68800,69500,71300,75700,79600,80300,81500,83600,84400,84400,86200,87700,87800,87600,89500,94600,99900,100200,99300,103600,111400,118400,122600,122700,121600,122200,123800,118900,112700,112600,116500,117100,116600,116500,117100,119900,123900,127800,130400,132900,136000,139700,142700,145400,147900,150700,152400,153300,154500,155900,156300,156800,157900,159800,161600,162200,162700,163600,164200,164200,164400,164700,164600,163900,164300,165800,166700,166300,165300,164100,163200,162900,163200,163000,163300,164000,163900,162200,160900,160600,160000,158200,156300,155600,155000,154100,152800,152200,151200,150900,150400,148900,146600,145600,145200,145200,144800,143800,142700,142800,143600,144200,142800,140300,139000,139400,139200,138300,137400,137100,136100,134900
60607,273400,272000,272000,272500,271400,269500,268100,268100,269500,271000,270400,269100,267300,263400,258500,256800,259800,262100,261600,255900,249100,244200,243000,241700,240500,239900,240500,240200,238400,236600,234900,233900,233900,233800,231700,228200,226300,227600,230100,231200,230600,229900,228600,227900,228400,228900,228500,228900,229000,228600,228300,227900,225800,222300,219100,216300,213000,208700,204700,200800,197800,196400,196100,194900,191400,188600,188100,188000,187500,187100,186000,182700,181000,182200,182500,181200,181900,184800,187500,190400,191500,192600,195600,201300,203900,204100,204000,205500,209000,212400,214200,215500,216900,217800,218300,219600,222300,222300,219600,219100,220900,221800,222200,223000,225500,229100,232600,234700,236400,238400,241500,245000,247200,248800,251300,254200,256800,258400,260400,262500,264100,265400,267200,267400,267100,266400,263900,260100,257300,255500,254100,253200,253000,254200,255600,255200,253700,253600,254900,256100,256000,255100,254400,254900,255400,254800,252600,250500,248500,246900,245800,246100,246100,245500,244900,244900,242900,240000,239300,240900,241300,239400,236500,233600,232000,231700,231000,229300,228100,226800,225100,223700,223100,222500,221700,221100,221200,221100,220000,218000,216100,215000
