Zip Code,2018-02-28,2018-01-31,2017-12-31,2017-11-30,2017-10-31,2017-09-30,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-30,2017-03-31,2017-02-28,2017-01-31,2016-12-31,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-31,2016-06-30,2016-05-31,2016-04-30,2016-03-31,2016-02-29,2016-01-31,2015-12-31,2015-11-30,2015-10-31,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-31,2015-04-30,2015-03-31,2015-02-28,2015-01-31,2014-12-31,2014-11-30,2014-10-31,2014-09-30,2014-08-31,2014-07-31,2014-06-30,2014-05-31,2014-04-30,2014-03-31,2014-02-28,2014-01-31,2013-12-31,2013-11-30,2013-10-31,2013-09-30,2013-08-31,2013-07-31,2013-06-30,2013-05-31,2013-04-30,2013-03-31,2013-02-28,2013-01-31,2012-12-31,2012-11-30,2012-10-31,2012-09-30,2012-08-31,2012-07-31,2012-06-30,2012-05-31,2012-04-30,2012-03-31,2012-02-29,2012-01-31,2011-12-31,2011-11-30,2011-10-31,2011-09-30,2011-08-31,2011-07-31,2011-06-30,2011-05-31,2011-04-30,2011-03-31,2011-02-28,2011-01-31,2010-12-31,2010-11-30,2010-10-31,2010-09-30,2010-08-31,2010-07-31,2010-06-30,2010-05-31,2010-04-30,2010-03-31,2010-02-28,2010-01-31,2009-12-31,2009-11-30,2009-10-31,2009-09-30,2009-08-31,2009-07-31,2009-06-30,2009-05-31,2009-04-30,2009-03-31,2009-02-28,2009-01-31,2008-12-31,2008-11-30,2008-10-31,2008-09-30,2008-08-31,2008-07-31,2008-06-30,2008-05-31,2008-04-30,2008-03-31,2008-02-29,2008-01-31,2007-12-31,2007-11-30,2007-10-31,2007-09-30,2007-08-31,2007-07-31,2007-06-30,2007-05-31,2007-04-30,2007-03-31,2007-02-28,2007-01-31,2006-12-31,2006-11-30,2006-10-31,2006-09-30,2006-08-31,2006-07-31,2006-06-30,2006-05-31,2006-04-30,2006-03-31,2006-02-28,2006-01-31,2005-12-31,2005-11-30,2005-10-31,2005-09-30,2005-08-31,2005-07-31,2005-06-30,2005-05-31,2005-04-30,2005-03-31,2005-02-28,2005-01-31,2004-12-31,2004-11-30,2004-10-31,2004-09-30,2004-08-31,2004-07-31,2004-06-30,2004-05-31,2004-04-30,2004-03-31,2004-02-29,2004-01-31,2003-12-31,2003-11-30,2003-10-31,2003-09-30,2003-08-31,2003-07-31,2003-06-30,2003-05-31,2003-04-30,2003-03-31,2003-02-28,2003-01-31
60622,279100,278200,278100,278600,279500,279900,278100,276400,277700,279200,278800,277800,277600,276200,274100,270800,267300,265100,265000,264600,263000,260000,257900,255900,254800,253700,252300,250100,248800,248000,247500,246800,245700,244200,242400,241900,243400,245500,246100,244700,243100,241600,240200,239200,238700,238300,238500,237700,235400,233800,233200,231900,230900,230400,228300,224000,219600,216400,214200,212400,209800,207300,205100,203200,201300,201800,202600,201700,200500,201300,201200,200100,200200,202400,205300,209300,212500,214200,214400,215100,216200,218900,222200,224600,225400,225000,224500,225200,226900,227600,229200,231900,234300,234200,232300,232500,234400,236200,237700,239900,241000,240700,241100,243600,246300,248000,250300,252400,254200,255500,256800,257500,258600,260400,261900,262800,264200,265000,266000,267800,269600,270700,271600,272000,271200,270300,269300,268600,267500,266500,266800,267900,266800,264500,264400,265200,266600,268200,270700,271600,271500,273100,274400,273800,274000,274700,271800,267800,264300,263200,262800,262800,262100,260600,258300,255800,252600,250200,249100,248200,246400,243500,241400,241600,243600,244600,242300,240000,240100,239400,237100,236800,238200,238400,237800,236700,233400,229000,225000,221600,219600,219600
60640,143000,142600,143000,144500,146500,147300,147400,147700,148600,149200,149200,148600,147600,146300,145000,143800,143200,142600,142800,140800,137100,133700,131900,130500,129600,128000,126500,125800,126000,126100,126400,127600,129700,130700,129200,128100,129500,131500,132000,131300,130400,130000,129900,130100,130100,129300,128900,129000,128300,126900,125600,123800,121500,118200,114500,111600,109700,108900,108100,107600,105600,104000,102600,101100,99300,99000,99800,100700,100300,99300,98700,98500,99600,100800,101500,103500,106700,109800,112100,112700,113300,115000,116900,118500,120500,122500,124200,126800,130500,134100,136700,138600,139500,140600,142400,143700,143300,144900,148800,150500,149400,148200,148200,149400,151400,153800,156200,158200,160000,161200,162300,163800,165800,167500,169700,172000,174200,176300,178500,180300,182100,183300,183100,182400,181700,181100,179800,179900,181500,182200,180800,180100,180100,179700,179200,178500,178000,178100,178600,178100,177200,176000,175300,175100,174700,172800,170800,170000,169900,169300,168600,168500,168200,167600,166900,166300,166300,167000,167900,168200,167700,166500,165300,163800,162700,162600,163100,162800,162400,163000,164000,164300,164300,164600,164700,164600,164300,163400,162000,160800,159300,157500
